Candidate_ID,Requisition_ID,Application_Date,Department,Job_Role,Location,Recruitment_Source,Recruiter,Gender,Age,Experience_Years,Education_Level,Expected_Salary_GBP,Screening_Result,Interview_1_Date,Interview_1_Score,Assessment_Score,Interview_2_Date,Interview_2_Score,Offer_Status,Offer_Date,Offered_Salary_GBP,Candidate_Status,Joining_Date,Days_to_Hire,Hiring_Cost_GBP,Offer_Decline_Reason,Probation_Status,Application_Month,Application_Quarter,Salary_Gap_GBP,Is_Hired,Is_Offer_Extended,Is_Offer_Declined,Reached_Interview1,Reached_Interview2,Passed_Screening
CAN00001,REQ-SAL-2507-048,2025-07-29,Sales,Account Manager,Manchester,LinkedIn,Daniel Evans,Prefer not to say,41,2.6,Diploma,54000,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,190.12,,,2025-07,2025Q3,,0,0,0,0,0,0
CAN00002,REQ-FIN-2602-065,2026-02-21,Finance,Finance Analyst,London,LinkedIn,Jack Wilson,Male,25,3.1,Bachelor's,43500,Passed,2026-02-26,77.0,80.0,2026-03-02,70.0,Accepted,2026-03-05,42500.0,Hired,2026-04-13,51.0,989.69,,Passed,2026-02,2026Q1,-1000.0,1,1,0,1,1,1
CAN00003,REQ-CUS-2504-009,2025-04-02,Customer Service,Customer Experience Executive,Edinburgh,Company Careers Page,Grace Patel,Male,36,5.2,Master's,32500,Passed,2025-04-10,72.0,66.0,2025-04-16,67.0,Not Reached,,,Rejected - Final Interview,,,340.98,,,2025-04,2025Q2,,0,0,0,1,1,1
CAN00004,REQ-TEC-2606-005,2026-06-13,Technology,Product Analyst,Bristol,LinkedIn,Oliver Bennett,Male,48,3.1,Master's,49000,Passed,2026-06-25,68.0,57.0,,,Not Reached,,,Rejected - Interview/Assessment,,,376.31,,,2026-06,2026Q2,,0,0,0,1,0,1
CAN00005,REQ-TEC-2512-076,2025-12-30,Technology,Cyber Security Analyst,Bristol,Job Fair,Oliver Bennett,Male,20,1.0,A-Level / Equivalent,56000,Passed,2026-01-03,74.0,67.0,2026-01-07,68.0,Not Reached,,,Rejected - Final Interview,,,417.66,,,2025-12,2025Q4,,0,0,0,1,1,1
CAN00006,REQ-OPE-2606-070,2026-06-01,Operations,Operations Executive,Manchester,Company Careers Page,Oliver Bennett,Male,34,0.9,Master's,32500,Passed,2026-06-07,62.0,66.0,,,Not Reached,,,Rejected - Interview/Assessment,,,253.43,,,2026-06,2026Q2,,0,0,0,1,0,1
CAN00007,REQ-SAL-2510-065,2025-10-24,Sales,Sales Executive,London,Recruitment Agency,Grace Patel,Male,39,6.0,A-Level / Equivalent,40000,Passed,2025-11-05,60.0,80.0,,,Not Reached,,,Rejected - Interview/Assessment,,,1148.6,,,2025-10,2025Q4,,0,0,0,1,0,1
CAN00008,REQ-TEC-2511-047,2025-11-25,Technology,Data Analyst,Edinburgh,LinkedIn,Jack Wilson,Male,33,7.1,Diploma,52500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,220.16,,,2025-11,2025Q4,,0,0,0,0,0,0
CAN00009,REQ-HR-2511-015,2025-11-23,HR,HR Advisor,Birmingham,Company Careers Page,Sophie Hughes,Female,44,9.1,Diploma,47500,Passed,2025-12-04,77.0,55.0,2025-12-12,63.0,Not Reached,,,Rejected - Final Interview,,,442.92,,,2025-11,2025Q4,,0,0,0,1,1,1
CAN00010,REQ-SAL-2604-077,2026-04-12,Sales,Account Manager,London,Indeed,Grace Patel,Female,31,12.0,Bachelor's,66500,Passed,2026-04-23,87.0,73.0,2026-04-29,59.0,Accepted,2026-05-04,60000.0,Hired,2026-06-09,58.0,730.66,,In Progress,2026-04,2026Q2,-6500.0,1,1,0,1,1,1
CAN00011,REQ-OPE-2607-026,2026-07-05,Operations,Quality Coordinator,Bristol,Company Careers Page,Jack Wilson,Female,39,1.8,Professional Qualification,37000,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,180.1,,,2026-07,2026Q3,,0,0,0,0,0,0
CAN00012,REQ-SAL-2606-034,2026-06-28,Sales,Sales Executive,Glasgow,Indeed,Amelia Carter,Male,32,7.5,Bachelor's,41500,Passed,2026-07-04,66.0,59.0,,,Not Reached,,,Rejected - Interview/Assessment,,,283.31,,,2026-06,2026Q2,,0,0,0,1,0,1
CAN00013,REQ-TEC-2607-046,2026-07-12,Technology,Cyber Security Analyst,Manchester,Job Fair,Sophie Hughes,Female,20,1.0,Bachelor's,56000,Passed,2026-07-20,72.0,71.0,2026-07-25,69.0,Not Reached,,,Rejected - Final Interview,,,617.48,,,2026-07,2026Q3,,0,0,0,1,1,1
CAN00014,REQ-TEC-2508-033,2025-08-20,Technology,IT Support Engineer,London,Employee Referral,Jack Wilson,Male,46,1.3,Bachelor's,38000,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,349.52,,,2025-08,2025Q3,,0,0,0,0,0,0
CAN00015,REQ-CUS-2508-023,2025-08-04,Customer Service,Customer Experience Executive,Liverpool,Company Careers Page,Oliver Bennett,Female,38,5.2,Master's,32500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,184.37,,,2025-08,2025Q3,,0,0,0,0,0,0
CAN00016,REQ-OPE-2501-052,2025-01-16,Operations,Quality Coordinator,Liverpool,Indeed,Jack Wilson,Prefer not to say,26,1.3,Bachelor's,37500,Passed,2025-01-21,56.0,97.0,2025-01-28,69.0,Declined,2025-02-03,33000.0,Offer Declined,,,605.78,Location,,2025-01,2025Q1,-4500.0,0,1,1,1,1,1
CAN00017,REQ-CUS-2604-020,2026-04-23,Customer Service,Customer Service Advisor,London,Indeed,Jack Wilson,Male,20,1.0,Diploma,24000,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,180.46,,,2026-04,2026Q2,,0,0,0,0,0,0
CAN00018,REQ-TEC-2504-070,2025-04-07,Technology,Software Engineer,Liverpool,Company Careers Page,Amelia Carter,Male,28,0.8,Bachelor's,54000,Passed,2025-04-12,58.0,88.0,2025-04-17,59.0,Accepted,2025-04-22,53000.0,Hired,2025-06-04,58.0,970.76,,Passed,2025-04,2025Q2,-1000.0,1,1,0,1,1,1
CAN00019,REQ-FIN-2504-057,2025-04-19,Finance,Payroll Officer,Liverpool,Company Careers Page,Sophie Hughes,Female,26,0.8,Master's,36500,Passed,2025-04-22,86.0,62.0,2025-05-01,84.0,Not Reached,,,Rejected - Final Interview,,,403.36,,,2025-04,2025Q2,,0,0,0,1,1,1
CAN00020,REQ-CUS-2602-013,2026-02-26,Customer Service,Customer Experience Executive,Glasgow,LinkedIn,Amelia Carter,Female,20,1.0,Master's,28500,Passed,2026-03-05,68.0,86.0,2026-03-15,67.0,Accepted,2026-03-21,36000.0,Hired,2026-04-13,46.0,513.61,,Passed,2026-02,2026Q1,7500.0,1,1,0,1,1,1
CAN00021,REQ-CUS-2606-066,2026-06-11,Customer Service,Customer Experience Executive,London,Indeed,Grace Patel,Male,28,1.6,Diploma,30500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,154.52,,,2026-06,2026Q2,,0,0,0,0,0,0
CAN00022,REQ-HR-2508-029,2025-08-30,HR,Recruitment Coordinator,Glasgow,Indeed,Daniel Evans,Prefer not to say,29,1.9,Professional Qualification,31000,Passed,2025-09-04,50.0,63.0,,,Not Reached,,,Rejected - Interview/Assessment,,,326.99,,,2025-08,2025Q3,,0,0,0,1,0,1
CAN00023,REQ-HR-2508-022,2025-08-03,HR,Recruitment Coordinator,Bristol,Employee Referral,Grace Patel,Male,30,2.0,Professional Qualification,29000,Passed,2025-08-07,76.0,47.0,,,Not Reached,,,Rejected - Interview/Assessment,,,549.91,,,2025-08,2025Q3,,0,0,0,1,0,1
CAN00024,REQ-TEC-2506-066,2025-06-14,Technology,Data Analyst,Bristol,Job Fair,Daniel Evans,Male,23,4.0,Master's,41500,Passed,2025-06-18,51.0,64.0,,,Not Reached,,,Rejected - Interview/Assessment,,,486.52,,,2025-06,2025Q2,,0,0,0,1,0,1
CAN00025,REQ-HR-2603-048,2026-03-01,HR,Recruitment Coordinator,London,Company Careers Page,Sophie Hughes,Male,26,6.8,Master's,37000,Passed,2026-03-11,50.0,89.0,,,Not Reached,,,Rejected - Interview/Assessment,,,222.05,,,2026-03,2026Q1,,0,0,0,1,0,1
CAN00026,REQ-FIN-2512-004,2025-12-16,Finance,Payroll Officer,London,University/Campus,Amelia Carter,Male,20,1.0,Master's,35000,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,322.59,,,2025-12,2025Q4,,0,0,0,0,0,0
CAN00027,REQ-TEC-2506-038,2025-06-06,Technology,Software Engineer,Bristol,Indeed,Amelia Carter,Male,25,1.8,Master's,55500,Passed,2025-06-12,38.0,79.0,,,Not Reached,,,Rejected - Interview/Assessment,,,293.62,,,2025-06,2025Q2,,0,0,0,1,0,1
CAN00028,REQ-HR-2510-022,2025-10-22,HR,HR Advisor,Bristol,Indeed,Daniel Evans,Female,33,0.6,Bachelor's,43000,Passed,2025-11-03,67.0,39.0,,,Not Reached,,,Rejected - Interview/Assessment,,,364.76,,,2025-10,2025Q4,,0,0,0,1,0,1
CAN00029,REQ-HR-2506-064,2025-06-22,HR,Recruitment Coordinator,Liverpool,Recruitment Agency,Sophie Hughes,Male,36,3.8,Diploma,34500,Passed,2025-07-02,82.0,70.0,2025-07-05,90.0,Accepted,2025-07-10,34500.0,Hired,2025-07-26,34.0,1434.97,,Passed,2025-06,2025Q2,0.0,1,1,0,1,1,1
CAN00030,REQ-TEC-2511-038,2025-11-08,Technology,Software Engineer,London,Recruitment Agency,Sophie Hughes,Male,26,2.3,Master's,57000,Passed,2025-11-12,78.0,67.0,2025-11-16,67.0,Accepted,2025-11-17,60000.0,Hired,2025-12-01,23.0,1606.06,,Passed,2025-11,2025Q4,3000.0,1,1,0,1,1,1
CAN00031,REQ-SAL-2503-026,2025-03-30,Sales,Business Development Executive,Liverpool,University/Campus,Grace Patel,Female,30,4.1,Master's,42500,Passed,2025-04-03,82.0,73.0,2025-04-10,75.0,Accepted,2025-04-15,43500.0,Hired,2025-05-14,45.0,627.2,,Passed,2025-03,2025Q1,1000.0,1,1,0,1,1,1
CAN00032,REQ-CUS-2509-011,2025-09-26,Customer Service,Customer Experience Executive,Liverpool,University/Campus,Oliver Bennett,Male,20,1.0,Bachelor's,32500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,207.96,,,2025-09,2025Q3,,0,0,0,0,0,0
CAN00033,REQ-TEC-2601-014,2026-01-10,Technology,Software Engineer,Leeds,Recruitment Agency,Jack Wilson,Female,38,5.2,Diploma,58500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,976.4,,,2026-01,2026Q1,,0,0,0,0,0,0
CAN00034,REQ-OPE-2508-012,2025-08-27,Operations,Operations Analyst,Leeds,Indeed,Oliver Bennett,Female,21,2.0,Master's,39000,Passed,2025-08-31,77.0,92.0,2025-09-10,82.0,Accepted,2025-09-16,42000.0,Hired,2025-10-17,51.0,910.11,,Not Passed,2025-08,2025Q3,3000.0,1,1,0,1,1,1
CAN00035,REQ-CUS-2506-042,2025-06-05,Customer Service,Customer Service Advisor,Manchester,Job Fair,Jack Wilson,Female,30,3.2,Master's,24500,Passed,2025-06-08,64.0,75.0,2025-06-16,69.0,Accepted,2025-06-22,27000.0,Hired,2025-07-27,52.0,649.69,,Passed,2025-06,2025Q2,2500.0,1,1,0,1,1,1
CAN00036,REQ-CUS-2511-064,2025-11-29,Customer Service,Customer Experience Executive,London,University/Campus,Amelia Carter,Female,31,5.7,Master's,36500,Passed,2025-12-07,95.0,61.0,2025-12-17,98.0,Not Reached,,,Rejected - Final Interview,,,570.11,,,2025-11,2025Q4,,0,0,0,1,1,1
CAN00037,REQ-CUS-2507-001,2025-07-29,Customer Service,Customer Experience Executive,London,Indeed,Jack Wilson,Female,29,0.9,Bachelor's,35500,Passed,2025-08-10,81.0,71.0,2025-08-13,64.0,Not Reached,,,Rejected - Final Interview,,,337.58,,,2025-07,2025Q3,,0,0,0,1,1,1
CAN00038,REQ-HR-2501-072,2025-01-06,HR,HR Advisor,Glasgow,Employee Referral,Amelia Carter,Female,33,1.5,Bachelor's,42500,Passed,2025-01-17,66.0,52.0,,,Not Reached,,,Rejected - Interview/Assessment,,,457.86,,,2025-01,2025Q1,,0,0,0,1,0,1
CAN00039,REQ-SAL-2607-078,2026-07-25,Sales,Business Development Executive,Glasgow,Indeed,Oliver Bennett,Male,37,2.0,A-Level / Equivalent,40500,Passed,2026-08-01,61.0,70.0,2026-08-07,73.0,Not Reached,,,Rejected - Final Interview,,,338.2,,,2026-07,2026Q3,,0,0,0,1,1,1
CAN00040,REQ-TEC-2512-058,2025-12-27,Technology,Cyber Security Analyst,London,LinkedIn,Sophie Hughes,Male,31,0.7,Bachelor's,54500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,191.73,,,2025-12,2025Q4,,0,0,0,0,0,0
CAN00041,REQ-CUS-2504-078,2025-04-19,Customer Service,Customer Experience Executive,London,LinkedIn,Grace Patel,Male,24,5.0,Bachelor's,33500,Passed,2025-04-30,65.0,86.0,2025-05-07,67.0,Not Reached,,,Rejected - Final Interview,,,523.86,,,2025-04,2025Q2,,0,0,0,1,1,1
CAN00042,REQ-OPE-2601-078,2026-01-23,Operations,Operations Analyst,Edinburgh,Indeed,Jack Wilson,Male,27,8.0,Bachelor's,46500,Passed,2026-01-27,68.0,62.0,2026-01-29,73.0,Declined,2026-02-01,49000.0,Offer Declined,,,502.07,Role expectations,,2026-01,2026Q1,2500.0,0,1,1,1,1,1
CAN00043,REQ-FIN-2512-064,2025-12-24,Finance,Finance Analyst,Liverpool,Indeed,Amelia Carter,Female,24,5.0,Master's,46500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,225.82,,,2025-12,2025Q4,,0,0,0,0,0,0
CAN00044,REQ-HR-2503-018,2025-03-27,HR,HR Advisor,London,Job Fair,Grace Patel,Female,28,4.8,Bachelor's,43000,Passed,2025-04-02,63.0,91.0,2025-04-12,73.0,Accepted,2025-04-16,47000.0,Hired,2025-05-27,61.0,1106.72,,Passed,2025-03,2025Q1,4000.0,1,1,0,1,1,1
CAN00045,REQ-OPE-2508-061,2025-08-03,Operations,Operations Executive,Glasgow,Indeed,Sophie Hughes,Male,26,2.0,Diploma,30500,Passed,2025-08-10,73.0,87.0,2025-08-14,96.0,Accepted,2025-08-17,31000.0,Hired,2025-09-02,30.0,973.45,,Passed,2025-08,2025Q3,500.0,1,1,0,1,1,1
CAN00046,REQ-HR-2508-017,2025-08-07,HR,L&D Coordinator,London,LinkedIn,Oliver Bennett,Female,32,2.8,Bachelor's,39000,Passed,2025-08-16,52.0,59.0,,,Not Reached,,,Rejected - Interview/Assessment,,,311.99,,,2025-08,2025Q3,,0,0,0,1,0,1
CAN00047,REQ-TEC-2603-082,2026-03-12,Technology,Software Engineer,Liverpool,Company Careers Page,Daniel Evans,Female,37,3.9,Diploma,56500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,93.02,,,2026-03,2026Q1,,0,0,0,0,0,0
CAN00048,REQ-CUS-2603-044,2026-03-21,Customer Service,Customer Service Advisor,Leeds,Recruitment Agency,Oliver Bennett,Male,49,3.8,Diploma,35000,Passed,2026-03-30,68.0,81.0,2026-04-03,89.0,Accepted,2026-04-09,30000.0,Hired,2026-05-25,65.0,1871.91,,Passed,2026-03,2026Q1,-5000.0,1,1,0,1,1,1
CAN00049,REQ-OPE-2507-059,2025-07-19,Operations,Operations Analyst,London,University/Campus,Daniel Evans,Female,32,7.0,Diploma,54000,Passed,2025-07-29,51.0,57.0,,,Not Reached,,,Rejected - Interview/Assessment,,,422.35,,,2025-07,2025Q3,,0,0,0,1,0,1
CAN00050,REQ-TEC-2508-044,2025-08-09,Technology,Data Analyst,London,Company Careers Page,Oliver Bennett,Male,41,3.5,Bachelor's,48500,Passed,2025-08-18,60.0,76.0,2025-08-20,52.0,Not Reached,,,Rejected - Final Interview,,,312.07,,,2025-08,2025Q3,,0,0,0,1,1,1
CAN00051,REQ-MAR-2505-067,2025-05-25,Marketing,Marketing Analyst,Liverpool,Indeed,Sophie Hughes,Male,27,2.1,Master's,38500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,229.93,,,2025-05,2025Q2,,0,0,0,0,0,0
CAN00052,REQ-MAR-2602-040,2026-02-15,Marketing,Marketing Executive,London,Company Careers Page,Amelia Carter,Non-binary,37,1.9,Master's,34500,Passed,2026-02-21,73.0,52.0,,,Not Reached,,,Rejected - Interview/Assessment,,,323.22,,,2026-02,2026Q1,,0,0,0,1,0,1
CAN00053,REQ-TEC-2504-061,2025-04-30,Technology,Data Analyst,Birmingham,LinkedIn,Daniel Evans,Female,40,6.3,Bachelor's,45000,Passed,2025-05-08,43.0,58.0,,,Not Reached,,,Rejected - Interview/Assessment,,,280.78,,,2025-04,2025Q2,,0,0,0,1,0,1
CAN00054,REQ-MAR-2605-058,2026-05-18,Marketing,Digital Marketing Specialist,London,LinkedIn,Grace Patel,Male,37,6.4,Bachelor's,47000,Passed,2026-05-21,92.0,69.0,2026-05-29,77.0,Accepted,2026-06-02,47000.0,Hired,2026-07-25,68.0,1177.78,,In Progress,2026-05,2026Q2,0.0,1,1,0,1,1,1
CAN00055,REQ-SAL-2510-083,2025-10-30,Sales,Sales Executive,London,Employee Referral,Sophie Hughes,Male,28,9.0,Bachelor's,48500,Passed,2025-11-10,63.0,69.0,2025-11-12,74.0,Accepted,2025-11-14,42500.0,Hired,2025-12-21,52.0,1253.71,,Not Passed,2025-10,2025Q4,-6000.0,1,1,0,1,1,1
CAN00056,REQ-MAR-2601-072,2026-01-02,Marketing,Marketing Analyst,Manchester,Job Fair,Sophie Hughes,Male,30,1.6,Diploma,46500,Passed,2026-01-11,72.0,98.0,2026-01-17,70.0,Declined,2026-01-19,45500.0,Offer Declined,,,692.14,Location,,2026-01,2026Q1,-1000.0,0,1,1,1,1,1
CAN00057,REQ-CUS-2603-059,2026-03-18,Customer Service,Customer Experience Executive,Birmingham,LinkedIn,Jack Wilson,Female,33,4.6,Bachelor's,36000,Passed,2026-03-28,57.0,70.0,2026-04-06,82.0,Accepted,2026-04-08,33000.0,Hired,2026-05-20,63.0,922.62,,Passed,2026-03,2026Q1,-3000.0,1,1,0,1,1,1
CAN00058,REQ-CUS-2603-069,2026-03-11,Customer Service,Customer Experience Executive,London,Company Careers Page,Oliver Bennett,Female,33,1.2,Bachelor's,32500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,112.44,,,2026-03,2026Q1,,0,0,0,0,0,0
